Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abolfazl Maghsodlou,2,6,3%,33.30%,50.00%,16.70%
Abolfazl Maghsodlou,3,11,5%,54.50%,36.40%,9.10%
Abolfazl Maghsodlou,4,21,9%,52.40%,19.00%,28.60%
Abolfazl Maghsodlou,5,46,20%,56.50%,26.10%,17.40%
Abolfazl Maghsodlou,6,56,24%,41.10%,37.50%,21.40%
Abolfazl Maghsodlou,7,90,39%,38.90%,40.00%,21.10%
Anand Patil,3,4,4%,25.00%,,75.00%
Anand Patil,4,13,13%,53.80%,,46.20%
Anand Patil,5,22,22%,54.50%,18.20%,27.30%
Anand Patil,6,20,20%,45.00%,30.00%,25.00%
Anand Patil,7,43,42%,39.50%,34.90%,25.60%
Meraj Sheykh,1,2,1%,,100.00%,
Meraj Sheykh,2,17,6%,11.80%,52.90%,35.30%
Meraj Sheykh,3,23,8%,39.10%,43.50%,17.40%
Meraj Sheykh,4,32,11%,43.80%,34.40%,21.90%
Meraj Sheykh,5,46,16%,60.90%,23.90%,15.20%
Meraj Sheykh,6,59,20%,55.90%,27.10%,16.90%
Meraj Sheykh,7,113,39%,67.30%,17.70%,15.00%
Nilesh Shinde,5,3,21%,100.00%,,
Nilesh Shinde,6,3,21%,33.30%,33.30%,33.30%
Nilesh Shinde,7,8,57%,75.00%,12.50%,12.50%
R. Sriram,2,1,1%,,100.00%,
R. Sriram,3,7,9%,42.90%,28.60%,28.60%
R. Sriram,4,8,10%,50.00%,25.00%,25.00%
R. Sriram,5,10,13%,10.00%,20.00%,70.00%
R. Sriram,6,15,19%,40.00%,26.70%,33.30%
R. Sriram,7,38,48%,34.20%,47.40%,18.40%
Ravi Dalal,4,1,4%,100.00%,,
Ravi Dalal,5,7,25%,85.70%,14.30%,
Ravi Dalal,6,6,21%,66.70%,,33.30%
Ravi Dalal,7,14,50%,64.30%,21.40%,14.30%
Rohit Baliyan,3,7,4%,85.70%,,14.30%
Rohit Baliyan,4,9,5%,55.60%,33.30%,11.10%
Rohit Baliyan,5,24,15%,70.80%,8.30%,20.80%
Rohit Baliyan,6,55,33%,25.50%,49.10%,25.50%
Rohit Baliyan,7,70,42%,48.60%,32.90%,18.60%
Rupesh Tomar,5,1,14%,100.00%,,
Rupesh Tomar,7,6,86%,100.00%,,
Satpal,5,1,14%,100.00%,,
Satpal,7,6,86%,33.30%,,66.70%
Shubham Ashok Palkar,4,1,4%,,,100.00%
Shubham Ashok Palkar,5,5,21%,80.00%,,20.00%
Shubham Ashok Palkar,6,5,21%,20.00%,60.00%,20.00%
Shubham Ashok Palkar,7,13,54%,38.50%,23.10%,38.50%
Sunil,3,1,50%,100.00%,,
Sunil,7,1,50%,,,100.00%
Suresu Kumar,1,1,8%,100.00%,,
Suresu Kumar,5,4,33%,75.00%,,25.00%
Suresu Kumar,6,2,17%,50.00%,50.00%,
Suresu Kumar,7,5,42%,40.00%,20.00%,40.00%
Vipin Malik,6,2,67%,,,100.00%
Vipin Malik,7,1,33%,,,100.00%
Vishal,4,1,14%,100.00%,,
Vishal,5,2,29%,50.00%,50.00%,
Vishal,7,4,57%,25.00%,,75.00%
Yatharth,7,1,100%,100.00%,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
