season,team_name,player-id-pkdc,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-06,Haryana Steelers,,Anand Surendra Tomar,5,2,10%,100.00%,,
PKL-06,Haryana Steelers,,,6,3,15%,,33.30%,66.70%
PKL-06,Haryana Steelers,,,7,15,75%,20.00%,40.00%,40.00%
PKL-06,Haryana Steelers,,Arun Kumar HN,7,5,100%,20.00%,20.00%,60.00%
PKL-06,Haryana Steelers,,Bhuvneshwar Gaur,6,1,14%,,,100.00%
PKL-06,Haryana Steelers,,,7,6,86%,,50.00%,50.00%
PKL-06,Haryana Steelers,,Kuldeep Singh,6,1,50%,100.00%,,
PKL-06,Haryana Steelers,,,7,1,50%,100.00%,,
PKL-06,Haryana Steelers,,Mayur Shivtarkar,3,1,3%,100.00%,,
PKL-06,Haryana Steelers,,,4,4,11%,75.00%,,25.00%
PKL-06,Haryana Steelers,,,5,6,17%,83.30%,,16.70%
PKL-06,Haryana Steelers,,,6,4,11%,75.00%,,25.00%
PKL-06,Haryana Steelers,,,7,21,58%,71.40%,4.80%,23.80%
PKL-06,Haryana Steelers,,Monu Goyat,2,10,3%,,70.00%,30.00%
PKL-06,Haryana Steelers,,,3,16,5%,31.30%,37.50%,31.30%
PKL-06,Haryana Steelers,,,4,41,14%,46.30%,19.50%,34.10%
PKL-06,Haryana Steelers,,,5,40,13%,52.50%,27.50%,20.00%
PKL-06,Haryana Steelers,,,6,78,26%,24.40%,56.40%,19.20%
PKL-06,Haryana Steelers,,,7,116,39%,25.00%,47.40%,27.60%
PKL-06,Haryana Steelers,,Naveen,3,8,4%,50.00%,12.50%,37.50%
PKL-06,Haryana Steelers,,,4,26,13%,34.60%,19.20%,46.20%
PKL-06,Haryana Steelers,,,5,37,19%,43.20%,29.70%,27.00%
PKL-06,Haryana Steelers,,,6,47,24%,34.00%,44.70%,21.30%
PKL-06,Haryana Steelers,,,7,75,39%,38.70%,49.30%,12.00%
PKL-06,Haryana Steelers,,Parveen,5,1,14%,100.00%,,
PKL-06,Haryana Steelers,,,7,6,86%,66.70%,16.70%,16.70%
PKL-06,Haryana Steelers,,Prateek,3,1,13%,100.00%,,
PKL-06,Haryana Steelers,,,6,3,38%,33.30%,33.30%,33.30%
PKL-06,Haryana Steelers,,,7,4,50%,50.00%,,50.00%
PKL-06,Haryana Steelers,,Sachin Shingade,6,1,50%,100.00%,,
PKL-06,Haryana Steelers,,,7,1,50%,100.00%,,
PKL-06,Haryana Steelers,,Sunil,6,1,33%,100.00%,,
PKL-06,Haryana Steelers,,,7,2,67%,100.00%,,
PKL-06,Haryana Steelers,,Vikash Khandola,1,2,1%,,100.00%,
PKL-06,Haryana Steelers,,,2,13,4%,,61.50%,38.50%
PKL-06,Haryana Steelers,,,3,27,8%,70.40%,29.60%,
PKL-06,Haryana Steelers,,,4,46,13%,34.80%,30.40%,34.80%
PKL-06,Haryana Steelers,,,5,82,24%,52.40%,23.20%,24.40%
PKL-06,Haryana Steelers,,,6,70,20%,25.70%,47.10%,27.10%
PKL-06,Haryana Steelers,,,7,107,31%,29.00%,53.30%,17.80%
PKL-06,Haryana Steelers,,Wazir Singh,4,2,20%,100.00%,,
PKL-06,Haryana Steelers,,,5,1,10%,,,100.00%
PKL-06,Haryana Steelers,,,6,2,20%,,50.00%,50.00%
PKL-06,Haryana Steelers,,,7,5,50%,60.00%,20.00%,20.00%
PKL-06,U Mumba,,Abhishek Singh,1,3,3%,,100.00%,
PKL-06,U Mumba,,,2,4,3%,25.00%,75.00%,
PKL-06,U Mumba,,,3,25,21%,64.00%,24.00%,12.00%
PKL-06,U Mumba,,,4,28,24%,42.90%,35.70%,21.40%
PKL-06,U Mumba,,,5,22,19%,59.10%,13.60%,27.30%
PKL-06,U Mumba,,,6,9,8%,22.20%,66.70%,11.10%
PKL-06,U Mumba,,,7,26,22%,53.80%,26.90%,19.20%
PKL-06,U Mumba,,Abolfazl Maghsodloumahali,2,2,3%,,,100.00%
PKL-06,U Mumba,,,3,7,9%,71.40%,14.30%,14.30%
PKL-06,U Mumba,,,4,11,14%,63.60%,18.20%,18.20%
PKL-06,U Mumba,,,5,18,23%,66.70%,16.70%,16.70%
PKL-06,U Mumba,,,6,19,25%,31.60%,31.60%,36.80%
PKL-06,U Mumba,,,7,20,26%,45.00%,35.00%,20.00%
PKL-06,U Mumba,,Anil,5,1,50%,100.00%,,
PKL-06,U Mumba,,,7,1,50%,100.00%,,
PKL-06,U Mumba,,Arjun Deshwal,2,1,9%,,100.00%,
PKL-06,U Mumba,,,4,3,27%,66.70%,33.30%,
PKL-06,U Mumba,,,5,3,27%,33.30%,,66.70%
PKL-06,U Mumba,,,6,1,9%,,100.00%,
PKL-06,U Mumba,,,7,3,27%,66.70%,,33.30%
PKL-06,U Mumba,,Darshan Kadian,1,2,1%,,100.00%,
PKL-06,U Mumba,,,2,4,3%,,75.00%,25.00%
PKL-06,U Mumba,,,3,17,12%,52.90%,29.40%,17.60%
PKL-06,U Mumba,,,4,18,13%,38.90%,27.80%,33.30%
PKL-06,U Mumba,,,5,39,28%,53.80%,17.90%,28.20%
PKL-06,U Mumba,,,6,28,20%,60.70%,35.70%,3.60%
PKL-06,U Mumba,,,7,33,23%,54.50%,24.20%,21.20%
PKL-06,U Mumba,,Dharmaraj Cheralathan,2,1,5%,,,100.00%
PKL-06,U Mumba,,,4,1,5%,100.00%,,
PKL-06,U Mumba,,,5,6,27%,100.00%,,
PKL-06,U Mumba,,,6,2,9%,100.00%,,
PKL-06,U Mumba,,,7,12,55%,100.00%,,
PKL-06,U Mumba,,Fazel Atrachali,3,1,7%,100.00%,,
PKL-06,U Mumba,,,4,2,14%,100.00%,,
PKL-06,U Mumba,,,5,3,21%,100.00%,,
PKL-06,U Mumba,,,6,1,7%,100.00%,,
PKL-06,U Mumba,,,7,7,50%,100.00%,,
PKL-06,U Mumba,,Gaurav Kumar,4,3,30%,33.30%,66.70%,
PKL-06,U Mumba,,,5,5,50%,20.00%,,80.00%
PKL-06,U Mumba,,,6,1,10%,100.00%,,
