Player_Name,Player_Link,Tournament,Team,Price,Status
Pardeep Narwal,https://www.kabaddiadda.com/player/pardeep-narwal-1000130?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Pardeep Narwal,https://www.kabaddiadda.com/player/pardeep-narwal-1000130?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Pardeep Narwal,https://www.kabaddiadda.com/player/pardeep-narwal-1000130?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Pardeep Narwal,https://www.kabaddiadda.com/player/pardeep-narwal-1000130?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Pardeep Narwal,https://www.kabaddiadda.com/player/pardeep-narwal-1000130?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Rahul Chaudhari,https://www.kabaddiadda.com/player/rahul-chaudhari-1000192?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Rahul Chaudhari,https://www.kabaddiadda.com/player/rahul-chaudhari-1000192?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Rahul Chaudhari,https://www.kabaddiadda.com/player/rahul-chaudhari-1000192?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Rahul Chaudhari,https://www.kabaddiadda.com/player/rahul-chaudhari-1000192?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Rahul Chaudhari,https://www.kabaddiadda.com/player/rahul-chaudhari-1000192?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Maninder Singh,https://www.kabaddiadda.com/player/maninder-singh-1000026?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Maninder Singh,https://www.kabaddiadda.com/player/maninder-singh-1000026?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Maninder Singh,https://www.kabaddiadda.com/player/maninder-singh-1000026?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Maninder Singh,https://www.kabaddiadda.com/player/maninder-singh-1000026?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Maninder Singh,https://www.kabaddiadda.com/player/maninder-singh-1000026?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Deepak Niwas Hooda,https://www.kabaddiadda.com/player/deepak-niwas-hooda-1000143?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Deepak Niwas Hooda,https://www.kabaddiadda.com/player/deepak-niwas-hooda-1000143?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Deepak Niwas Hooda,https://www.kabaddiadda.com/player/deepak-niwas-hooda-1000143?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Deepak Niwas Hooda,https://www.kabaddiadda.com/player/deepak-niwas-hooda-1000143?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Deepak Niwas Hooda,https://www.kabaddiadda.com/player/deepak-niwas-hooda-1000143?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Pawan Kumar Sehrawat,https://www.kabaddiadda.com/player/pawan-kumar-sehrawat-1000070?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Pawan Kumar Sehrawat,https://www.kabaddiadda.com/player/pawan-kumar-sehrawat-1000070?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Pawan Kumar Sehrawat,https://www.kabaddiadda.com/player/pawan-kumar-sehrawat-1000070?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Pawan Kumar Sehrawat,https://www.kabaddiadda.com/player/pawan-kumar-sehrawat-1000070?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Pawan Kumar Sehrawat,https://www.kabaddiadda.com/player/pawan-kumar-sehrawat-1000070?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Naveen Kumar,https://www.kabaddiadda.com/player/naveen-kumar-1000394?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Naveen Kumar,https://www.kabaddiadda.com/player/naveen-kumar-1000394?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Naveen Kumar,https://www.kabaddiadda.com/player/naveen-kumar-1000394?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Naveen Kumar,https://www.kabaddiadda.com/player/naveen-kumar-1000394?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Naveen Kumar,https://www.kabaddiadda.com/player/naveen-kumar-1000394?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Sachin,https://www.kabaddiadda.com/player/sachin-1000073?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Sachin,https://www.kabaddiadda.com/player/sachin-1000073?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Sachin,https://www.kabaddiadda.com/player/sachin-1000073?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Sachin,https://www.kabaddiadda.com/player/sachin-1000073?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Sachin,https://www.kabaddiadda.com/player/sachin-1000073?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Ajay Thakur,https://www.kabaddiadda.com/player/ajay-thakur-1000159?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Ajay Thakur,https://www.kabaddiadda.com/player/ajay-thakur-1000159?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Ajay Thakur,https://www.kabaddiadda.com/player/ajay-thakur-1000159?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Ajay Thakur,https://www.kabaddiadda.com/player/ajay-thakur-1000159?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Ajay Thakur,https://www.kabaddiadda.com/player/ajay-thakur-1000159?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Sandeep Narwal,https://www.kabaddiadda.com/player/sandeep-narwal-1000153?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Sandeep Narwal,https://www.kabaddiadda.com/player/sandeep-narwal-1000153?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Sandeep Narwal,https://www.kabaddiadda.com/player/sandeep-narwal-1000153?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Sandeep Narwal,https://www.kabaddiadda.com/player/sandeep-narwal-1000153?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Sandeep Narwal,https://www.kabaddiadda.com/player/sandeep-narwal-1000153?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Manjeet Chhillar,https://www.kabaddiadda.com/player/manjeet-chhillar-1000109?tab=auction,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Manjeet Chhillar,https://www.kabaddiadda.com/player/manjeet-chhillar-1000109?tab=auction,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Manjeet Chhillar,https://www.kabaddiadda.com/player/manjeet-chhillar-1000109?tab=auction,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Manjeet Chhillar,https://www.kabaddiadda.com/player/manjeet-chhillar-1000109?tab=auction,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Manjeet Chhillar,https://www.kabaddiadda.com/player/manjeet-chhillar-1000109?tab=auction,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Vikas Kandola,https://www.kabaddiadda.com/player/vikas-kandola-1000100?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Vikas Kandola,https://www.kabaddiadda.com/player/vikas-kandola-1000100?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Vikas Kandola,https://www.kabaddiadda.com/player/vikas-kandola-1000100?tab=auction,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Vikas Kandola,https://www.kabaddiadda.com/player/vikas-kandola-1000100?tab=auction,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Vikas Kandola,https://www.kabaddiadda.com/player/vikas-kandola-1000100?tab=auction,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Po Surjeet Singh,https://www.kabaddiadda.com/player/po-surjeet-singh-1000033?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Po Surjeet Singh,https://www.kabaddiadda.com/player/po-surjeet-singh-1000033?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Po Surjeet Singh,https://www.kabaddiadda.com/player/po-surjeet-singh-1000033?tab=auction,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Po Surjeet Singh,https://www.kabaddiadda.com/player/po-surjeet-singh-1000033?tab=auction,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Po Surjeet Singh,https://www.kabaddiadda.com/player/po-surjeet-singh-1000033?tab=auction,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Rishank Devadiga,https://www.kabaddiadda.com/player/rishank-devadiga-1000232?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Rishank Devadiga,https://www.kabaddiadda.com/player/rishank-devadiga-1000232?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Rishank Devadiga,https://www.kabaddiadda.com/player/rishank-devadiga-1000232?tab=auction,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Rishank Devadiga,https://www.kabaddiadda.com/player/rishank-devadiga-1000232?tab=auction,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Rishank Devadiga,https://www.kabaddiadda.com/player/rishank-devadiga-1000232?tab=auction,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Shrikant Jadhav,https://www.kabaddiadda.com/player/shrikant-jadhav-1000218?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Shrikant Jadhav,https://www.kabaddiadda.com/player/shrikant-jadhav-1000218?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Shrikant Jadhav,https://www.kabaddiadda.com/player/shrikant-jadhav-1000218?tab=auction,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Shrikant Jadhav,https://www.kabaddiadda.com/player/shrikant-jadhav-1000218?tab=auction,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Shrikant Jadhav,https://www.kabaddiadda.com/player/shrikant-jadhav-1000218?tab=auction,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Fazel Atrachali,https://www.kabaddiadda.com/player/fazel-atrachali-1000065?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Fazel Atrachali,https://www.kabaddiadda.com/player/fazel-atrachali-1000065?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Fazel Atrachali,https://www.kabaddiadda.com/player/fazel-atrachali-1000065?tab=auction,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Fazel Atrachali,https://www.kabaddiadda.com/player/fazel-atrachali-1000065?tab=auction,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Fazel Atrachali,https://www.kabaddiadda.com/player/fazel-atrachali-1000065?tab=auction,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Anup Kumar,https://www.kabaddiadda.com/player/anup-kumar-1000203?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Anup Kumar,https://www.kabaddiadda.com/player/anup-kumar-1000203?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Anup Kumar,https://www.kabaddiadda.com/player/anup-kumar-1000203?tab=auction,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Anup Kumar,https://www.kabaddiadda.com/player/anup-kumar-1000203?tab=auction,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Anup Kumar,https://www.kabaddiadda.com/player/anup-kumar-1000203?tab=auction,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Kashiling Adake,https://www.kabaddiadda.com/player/kashiling-adake-1000211?tab=auction,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Kashiling Adake,https://www.kabaddiadda.com/player/kashiling-adake-1000211?tab=auction,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
